description,manufacturer,correct_code,correct_desc,form,amount,dosage
"ЛИЗИНОПРИЛ 0,01 N20 ТАБЛ/АЛКАЛОИД",Алкалоид АО,42406,лизиноприл,табл,20,10мг
БЕЛЛАТАМИНАЛ N30 ТАБЛ П/О,"Фармцентр ВИЛАР, ЗАО",9528,беллатаминал,табл п/плен/оболоч,30,
БАРХАТНЫЕ РУЧКИ ПИТАТЕЛЬНЫЙ КРЕМ ДЛЯ РУК БАЗОВЫЙ УХОД 80МЛ,"Юнилевер Русь,ООО",10772,бархатные ручки рук питательный арт65500308,д/инг крем,1,80мл
ЗВЕЗДОЧКА АПЕЛЬСИН N18 ТАБЛ Д/РАССАС,Сидлер Ремедис Пвт.Лтд,47114,звездочка апельсин,табл д/рассас,18,"2,4мг"
"ЛОКОИД КРЕЛО 0,1% 30,0 ЭМУЛЬСИЯ",Теммлер Италиа С.р.Л,46538,локоид крело эмульсия,д/наруж д/мест,1,0.1% 30г
"ФИТОЛАКС ЧАЙ 2,1 N20 Ф/ПАК",Эвалар ЗАО,22588,фитолакс чай ф/ бад,п/плен/оболоч,20,2.1г
"АТОРВАСТАТИН 0,08 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ/ОЗОН/","ОЗОН,ООО",43242,аторвастатин,табл п/плен/оболоч,30,80мг
ПЕРФЕКТИЛ ПЛАТИНУМ N60 ТАБЛ,ВИТАБИОТИКС ЛТД,28741,перфектил платинум,табл,60,
ДО И ПОСЛЕ КРЕМ ГИДРОАКТИВ ДЛЯ РУК 100МЛ,"ТВИНС Тэк, АО",17737,до после гидроактив д/сух кожи рук,крем туба,1,100мл
"ЛЕВОФЛОКСАЦИН 0,25 N10 ТАБЛ П/ПЛЕН/ОБОЛОЧ/ОЗОН","ОЗОН,ООО",43554,левофлоксацин,табл п/плен/оболоч,10,250мг
"АНАПРИЛИН 0,04 N50 ТАБЛ ИНД/УП/МЕДИСОРБ/","Медисорб, АО",6052,анаприлин,табл,50,40мг
СОЛОДКИ СИРОП 100 МЛ /ИФФ/,"Ивановская фармацевическая фабрика, ОАО",17729,солодки,флакон сироп,1,100г
ГЛЮКОЗА-СОЛОФАРМ 5% 200МЛ N20 ФЛАК Р-Р Д/ИНФ /ГРОТЕКС/,"Гротекс, ООО",40028,глюкоза полипроп,флакон раствор,20,5% 200мл
"КАВИНТОН 0,005/МЛ 5МЛ N10 АМП КОНЦ Д/Р-РА Д/ИНФ",Гедеон Рихтер ОАО,17073,кавинтон -т инфуз,конц д/приг раствора амп,10,0.5% 5мл
"ЭКСПОРТАЛ 10,0 N20 ПАК ПОР Д/Р-РА /АКЦИЯ  3+1/",ФармВилар НПО ООО,47463,экспортал 4,д/вн/пр д/приг сусп раствора пак,20,10г
РЕПЕЙНОЕ МАСЛО С ЭКСТР КРАПИВЫ 100МЛ/ЭВАЛАР,Эвалар ЗАО,14197,масло репейное /с крапивой/,,1,100мл
"ЛЕВЕТИНОЛ 0,5 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",ГЕРОФАРМ ООО,40018,леветинол,табл п/плен/оболоч,30,500мг
НОРМОБАКТ JUNIOR N20 ТАБЛ,Anlit Ltd Advanced Nutrition Supplements/ПОЛЬФАРМА,48328,нормобакт junior 3,табл пак,20,
911 БАЛЬЗАМ ЛУКОВЫЙ ОТ ВЫПАДЕНИЯ ВОЛОС И ОБЛЫСЕНИЯ 150МЛ,"ТВИНС Тэк, АО",38890,911 луковый /выпад обл,п/плен/оболоч от выпадения волос бальзам,1,150мл
ОМЕГАТРИН N60 КАПС,"КоролевФарм,ООО",39823,омегатрин,капс,60,780мг
БЭБИ ФОРМУЛА МИШКИ КАЛЬЦИЙ N30 ЖЕВ ПАСТИЛКИ,Эвалар ЗАО,44087,бэби формула мишки кальций,жев пастилки,30,
"ГЕПАРИН-АКРИХИН 1000 50,0 ГЕЛЬ Д/НАРУЖ",Акрихин ХФК АО,44175,гепарин-акрихин 1000 г,гель туба,1,1000ме 50г
"КСИЛОМЕТАЗОЛИН 0,1% 10МЛ СПРЕЙ НАЗАЛ/ОЗОН","ОЗОН,ООО",47011,ксилометазолин,флакон назал спрей,1,0.1% 10мл
НЕО-АНУЗОЛ N10 СУПП,Дальхимфарм ОАО,6203,нео-анузол,рект супп,10,
ФУРАЦИЛИН 20МГ СРЕДСТВО ДЕЗИНФ (АНТИСЕПТИК) N20 ПАК,САМАРСКАЯ ФАРМ. ФАБРИКА ООО,46562,фурацилин ср-во дезинф,д/наруж д/мест д/приг д/приг сусп раствора пак,20,20мг
ЛЕВЕТОН-П N60 ТАБЛ,Парафарм ООО,19279,леветон энергия сила спортсмена,табл п/плен/оболоч,60,500мг
"ПРОСУЛЬПИН 0,05 N30 ТАБЛ",ПРО.МЕД.ЦС Прага а.о.,16756,просульпин,табл,30,50мг
"АЗИТРОМИЦИН 0,125 N6 ТАБЛ П/ПЛЕН/ОБОЛОЧ/ВЕРТЕКС/",Вертекс Акционерное Общество,46702,азитромицин,табл п/плен/оболоч,6,125мг
ПРОБИФОР N6 ПАК ПОР,ПАРТНЕР  АО,780,пробифор,пак,6,
"ЦИАНОКОБАЛАМИН 0,0005/МЛ 1МЛ N10 АМП Р-Р Д/ИН","Борисовский завод медицинских препаратов, ОАО",5795,витамин12 цианокобаламин,раствор амп,10,0.5мг 1мл
"АЗИТРАЛ 0,5 N3 КАПС",Шрея Лайф Саенсиз Пвт Лтд,12496,азитрал,капс,3,500мг
"РЕПЕШОК ОБЫКНОВЕННЫЙ 50,0",Эвалар ЗАО,33569,репешок трава,,1,50г
"КЕНАЛОГ 0,004 N50 ТАБЛ","КРКА, д.д., Ново место, АО",9367,кеналог,табл,50,4мг
ФЕНЮЛЬС N10 КАПС,Ранбакси Лабораториз Лимитед,45923,фенюльс 6,капс пак,10,
"ИНДАПАМИД 0,0025 N30 ТАБЛ П/О /ПРАНАФАРМ/","Пранафарм, ООО",46456,индапамид,табл п/плен/оболоч,30,2.5мг
"МИРАПЕКС ПД 0,000375 N10 ТАБЛ ПРОЛОНГ",Берингер Ингельхайм Фарма ГмбХ и Ко.КГ,21667,мирапекс пд действ,табл,10,0.375мг
ТРЭВЕЛДРИМ БРАСЛЕТ АКУПУНКТУРНЫЙ N2,"ЗЕЛДИС,ООО",18239,трэвел дрим браслет акупунктурный с изображением рук,,2,
"ЭНАП 0,02 N500 ТАБЛ","КРКА, д.д., Ново место, АО",17190,энап,табл,500,20мг
МАССАЖЕР MH-103 С ИОННОЙ ЛАМПОЙ,АЙ-СИ-ЭС-ТИ Корпорэйшн,37533,массажер медmh-103,,1,
"ЯНТАРНАЯ К-ТА-МАРБИОФАРМ 0,1 N10 ТАБЛ",МАРБИОФАРМ ОАО,11018,янтарная,табл к-та,10,100мг
"НАТРИЯ ХЛОРИД 0,9% 250МЛ  №1 КОНТ. ПОЛИМЕР Р-Р Д/ИНФ","Мосфарм,ООО",41246,натрия хлорид конт,раствор д/инф,1,"0,9% 250мл"
JOHNSONS BABY PURE PROTECT ДЕТСКОЕ ЖИДКОЕ МЫЛО 2В1 ДЛЯ МЫТЬЯ РУК И ТЕЛА 300МЛ,Johnson and Johnson S.p.A.,48309,johnsons baby pure protect мыло жидкое 2 1 д/мытья рук тела антибакт,,1,300мл
ЗОЛОТОЙ УС БАЛЬЗАМ ДЛЯ ТЕЛА В ОБЛАСТИ СПИНЫ С САБЕЛЬНИКОМ 125МЛ,"КоролевФарм,ООО",20084,золотой ус /сабельник/ д/тела,бальзам,1,125мл
"ТЕАГЕЛЬ СТЕРИ-ФРИ ГЕЛЬ ДЛЯ ГИГИЕНЫ ВЕК И РЕСНИЦ 30,0",LABORATOIRES THEA,43628,теагель стери-фри ср-во косм,гель,1,30г
АСКОРУТИН N50 ТАБЛ/ОЗОН/,"ОЗОН,ООО",17896,аскорутин,табл,50,
"ВИНПОЦЕТИН 0,005 N50 ТАБЛ/АЛСИ ФАРМА","Алси Фарма, ЗАО",4308,винпоцетин,табл,50,5мг
"КАПТОПРИЛ 0,05 N40 ТАБЛ /ПРАНАФАРМ/","Пранафарм, ООО",46458,каптоприл,табл,40,50мг
VEET NATURALS КРЕМ ДЛЯ ДЕПИЛЯЦИИ С МАСЛОМ ШИ 90МЛ,Рекитт Бенкизер,44844,veet naturals д/депил ши,крем масло,1,90мл
"ДЕЛАГИЛ 0,25 N30 ТАБЛ",Алкалоида Кемикал Компани Лтд,43043,делагил,табл,30,250мг
СУПРИМА-ЛОР АПЕЛЬСИН N16 ТАБЛ Д/РАССАС,Шрея Лайф Саенсиз Пвт Лтд,7666,суприма-лор /апельсин/,табл,16,
ТРОПИКАНА СЛИМ КОНЬЮГ ЛИНОЛЕВАЯ К-ТА N90 КАПС,Эвалар ЗАО,38323,тропикана слим коньюгир,капс к-та,90,650мг
"СПАЗМОФАРМ 0,5/МЛ+0,002/МЛ+0,02МГ/МЛ  2МЛ N10 АМП Р-Р В/М",ВЕТПРОМ АД,45495,спазмофарм,раствор амп в/м,10,"500мг/мл 2мг/мл 0,02мг/мл 2мл"
"ВИЗАРСИН КУ-ТАБ 0,1 N4 ТАБЛ ДИСПЕРГ В ПОЛ РТА","КРКА, д.д., Ново место, АО",40876,визарсин ку- дисперг,табл,4,100мг
БИФИДУМБАКТЕРИН 5ДОЗ N10 КАПС,ЭКОПОЛИС ЗАО,46008,бифидумбактерин 5 банки полим,капс дозир,10,
"КОРДИАМИН 0,25/МЛ 2МЛ N10 АМП Р-Р Д/ИН/БИОХИМИК","Биохимик, ПАО",14594,кордиамин,раствор амп,10,250мг/мл 2мл
"ФЕНИБУТ 0,25 N10 ТАБЛ","БЕЛМЕДПРЕПАРАТЫ, РУП",14623,фенибут,табл,10,250мг
"ПАНТЕНОЛ-СПРЕЙ ВИАЛАЙН БАЛЬЗАМ КОСМЕТИЧ ДЛЯ ДЕТЕЙ 130,0 АЭР",TUNAP Cosmetics GmbH,47492,пантенол- виалайн,д/дет спрей,1,130г
АДЖИСЕПТ КЛАССИЧЕСКИЙ N24 ТАБЛ Д/РАССАС,Аджио Фармацевтикалз Лтд,13,аджисепт /классич/,табл д/рассас,24,
"АМИТРИПТИЛИН 0,025 N50 ТАБЛ","ОЗОН,ООО",14251,амитриптилин,табл,50,25мг
"СЕТЕГИС 0,002 N30 ТАБЛ",Эгис Фармацевтический завод ЗАО,645,сетегис,табл,30,2мг
"ТОРЕАЛ 0,025 N28 ТАБЛ П/О",Фармстандарт-Лексредства ОАО,44079,тореал полим,табл п/плен/оболоч банка,28,25мг
ТЕСТ ДЛЯ ОПРЕДЕЛЕНИЯ ОВУЛЯЦИИ EVIPLAN COMFORT N5,Хельм Медикал ГмбХ,44352,тест на овуляцию eviplan comfort,,5,
ФУНГОТЕРБИН 1% 30МЛ СПРЕЙ,Нижфарм АО,12444,фунготербин тербинафин,д/наруж д/мест флакон спрей,1,1% 30г
ВАЛЕНТИНА ДИКУЛЯ БАЛЬЗАМ-ГЕЛЬ РАДИКУЛИН 100МЛ,"КоролевФарм,ООО",40419,валентина дикуля радикулин - при болях пояснице,гель бальзам,1,100мл
"МЕТОПРОЛОЛ 0,025 N60 ТАБЛ/ОРГАНИКА/","Органика, АО",43112,метопролол органика,табл,60,25мг
МАСКА МЕДИЦИНСКАЯ LATIO ДЕТСКАЯ N10 C РИСУНКОМ,"КИТ, ООО",41319,маска медицинская детская с рисунком latio,,10,
ПИКОВИТ ФОРТЕ N30 ТАБЛ П/О,"КРКА, д.д., Ново место, АО",6550,пиковит форте,табл п/плен/оболоч,30,
"ЭКОКЛАВ 0,25+0,0625/5МЛ 25,0 ФЛАК ПОР Д/СУСП",АВВА РУС  АО,22714,экоклав,д/вн/пр д/приг сусп флакон,1,"250мг 62,5мг 5мл 25г"
"ТЕЙМУРОВА ПАСТА 50,0","Зеленая Дубрава, ЗАО",9580,теймурова алюм,туба паста,1,50г
"КОЛХИКУМ-ДИСПЕРТ 0,0005 N20 ТАБЛ П/О",Хаупт Фарма Вюльфинг ГмбХ/Фармаселект Интернешнл Бетайлигунгс Гм,43652,колхикум-дисперт,табл п/плен/оболоч,20,"0,5мг"
"ПИРАМИЛ 0,005 N28 ТАБЛ",Лек С.А.,16904,пирамил,табл,28,5мг
"АЛПИЗАРИН 0,1 N20 ТАБЛ","Фармцентр ВИЛАР, ЗАО",9436,алпизарин,табл,20,100мг
СОЛГАР КОРЕНЬ ДЯГИЛЯ ПЛЮС N100 КАПС,Solgar Vitamin and Herb,22995,солгар корень дягиля бад,капс,100,
БЕРУШИ ВКЛАДЫШИ ТРЭВЕЛ ДРИМ УНИВЕРСАЛЬНЫЕ ПОЛИПРОПИЛЕНОВЫЕ N2,"БИОФАРМРУС, ООО",42642,трэвел дрим беруши пенопроп защита шума,от выпадения волос,2,
"БЕТАМАКС 0,2 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Гриндекс АО,16600,бетамакс,табл п/плен/оболоч,30,200мг
ПИКОВИТ N60 ТАБЛ П/О,"КРКА, д.д., Ново место, АО",15601,пиковит,табл п/плен/оболоч,60,
"АПИЛАК ГРИНДЕКС 0,01 N25 ТАБЛ ПОДЪЯЗЫЧ",Гриндекс АО,4449,апилак гриндекс подъязычн,табл,25,10мг
СОЛГАР ТОНАЛИН КЛК N60 КАПС,Solgar Vitamin and Herb,20286,солгар тоналин клк бад,капс,60,1300мг
"ЛОЗАРЕЛ 0,05 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Лек Д.Д.,19470,лозарел,табл п/плен/оболоч,30,50мг
"СЕЙЗАР 0,2 N30 ТАБЛ",Алкалоид АО,17932,сейзар,табл,30,200мг
СОЛНЦЕ И ЛУНА ПРОКЛАДКИ НА ГРУДЬ ГЕЛЕВЫЕ ДЛЯ КОРМЯЩИХ МАМ N30,"Shanghai Foliage Industry Co., Ltd",44803,прокладки гелевые на грудь солнце луна д/кормящих мам арт8008/6932,,30,
"КАЛЬЦИЯ ГЛЮКОНАТ 0,5 N20 ТАБЛ/МЕДИСОРБ","Медисорб, ЗАО",19850,кальция глюконат,табл инд/уп,20,
"АМТЕРСОЛ 100,0 СИРОП","Ярославская фармацевтическая фабрика, ЗАО",7692,амтерсол,инд/уп сироп,1,100г
"НОГОТКОВ ЦВЕТКИ 1,5 N20 ПАК /КРЛС/",Красногорсклексредства АО,10199,ноготки цветки ф/,п/плен/оболоч,20,1.5г
"ВЕРОШПИРОН 0,05 N30 КАПС","Гедеон Рихтер ОАО/""Гедеон Рихтер-РУС"", АО",48576,верошпирон,капс блистер,30,50мг
"НОГОТКОВ ЦВЕТКИ 50,0",Красногорсклексредства АО,41399,ноготки цветки пачка календула,,1,50г
ЛЕВЗЕЯ-П N100 ТАБЛ,Парафарм ООО,31853,левзея,табл п/плен/оболоч,100,205мг
МАСТОПОЛ N60 ТАБЛ ПОДЪЯЗЫЧ,"Мега Фарм, ЗАО/ Алкой, ООО",38748,мастопол подъязмеопат,табл,60,.г
СПРИНЦОВКА МЯГКИЙ НАКОНЕЧНИК А1 35МЛ ИНД/УП/ВИТАЛФАРМ,ВИТАЛФАРМ ЗАО,42157,спринцовка пластизольная №1 а,,1,
КАЛЕНДУЛА N10 СУПП РЕКТ,"МОСКОВСКАЯ ФАРМ. ФАБРИКА, ЗАО",1948,календула гомеопат,рект супп,10,
УМНЫЙ КРЕМ МУМИЕ КРЕМ ДЛЯ ТЕЛА В ОБЛАСТИ СУСТАВОВ СУМАХ 75МЛ,"КоролевФарм,ООО",40424,умный мумие/сумах тела,д/инг крем,1,75мл
"КЛОПИГРАНТ А 0,1+0,075 N30 КАПС МОДИФ ВЫСВОБ",Микро Лабс Лимитед,48444,клопигрант а с модиф,капс,30,100мг 75мг
"АНАЛЬГИН 0,5/МЛ 2МЛ N10 АМП Р-Р В/В В/М /ФАРМСТАНДАРТ",Фармстандарт-УфаВИТА ОАО,46659,анальгин,раствор амп в/м в/в,10,500мг/мл 2мл
ВАЗАЛАМИН N20Х2 ТАБЛ П/О,Клиника Института биорегуляции и геронтологии,22665,вазаламинбад,табл,40,.155мг
"НОМИДЕС 0,075 N10 КАПС",Фармасинтез АО,44238,номидес,капс,10,75мг
"ЭГИПРЕС 0,01+0,005 N30 КАПС",Эгис Фармацевтический завод ЗАО,39547,эгипрес,капс,30,10мг 5мг
"ЛОМИЛАН 0,01 N10 ТАБЛ",Лек Д.Д.,1726,ломилан,табл,10,10мг
"ТЕЛПРЕС ПЛЮС 0,0125+0,04 N98 ТАБЛ",Лабораториос Ликонса С.А./Радуга Продакшн ЗАО,46388,телпрес плюс,табл,98,".12,5мг 40мг"
РЕВАЙТЛ ЧЕСНОЧНЫЕ ЖЕМЧУЖИНЫ N100 КАПС ФЛАК,Софтсьюл Пвт.Лтд/Ранбакси Лабораториз Лимитед,45922,ревайтл чесночные жемчужины 4,капс пак,100,
КОМПЛИВИТ Д/ДЕТЕЙ ЗДОРОВЫЕ ГЛАЗКИ N30,ZPC Otmuchow S.A.,42404,компливит здоровые глазки,д/дет жев пастилки,30,
"ПЕРИНДОПРИЛ 0,004 N30 ТАБЛ /ПРАНАФАРМ/","Пранафарм, ООО",43829,периндоприл,табл,30,4мг
СОЛГАР ЖИР ИЗ ПЕЧЕНИ НОРВЕЖСКОЙ ТРЕСКИ N100 КАПС,Solgar Vitamin and Herb,20254,солгар жир из печени норвежской трески бад,капс,100,
"АНАЛЬГИН 0,5/МЛ 2МЛ N10 АМП Р-Р В/В В/М/БИОСИНТЕЗ",Биосинтез ПАО,42867,анальгин р-рв контур,инд/уп амп в/м,10,500мг/мл 2мл
СТОПГРИПАН N10 ПАК ПОР Д/Р-РА /ЛИМОН/,Русан Фарма ЛТД,22299,стопгрипан /лимон/,д/приг сусп саше,10,21.5г
ПАГЛЮФЕРАЛ-2 N20 ТАБЛ,"МОСКОВСКАЯ ФАРМ. ФАБРИКА, ЗАО",7280,паглюферал-2,табл,20,
"МЕЛИПРАМИН 0,025 N50 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Эгис Фармацевтический завод ЗАО,22787,мелипрамин,табл п/плен/оболоч,50,25мг
"БУТАДИОН 5% 20,0 МАЗЬ",Гедеон Рихтер ОАО,958,бутадион,мазь,1,5% 20г
911 БАЛЬЗАМ ВИТАМИННЫЙ ВОССТАНОВЛЕНИЕ И ПИТАНИЕ 150МЛ,"ТВИНС Тэк, АО",40012,911 витаминный д/восст пит,от выпадения волос бальзам,1,150мл
ЦИТРАМОН УЛЬТРА N20 ТАБЛ П/ПЛЕН/ОБОЛОЧ,ФармВилар НПО ООО,46939,цитрамон ультра,табл п/плен/оболоч,20,
"ЦЕЛЕСТОДЕРМ В С ГАРАМИЦИНОМ 15,0 КРЕМ",Шеринг-Плау Лабо Н.В.,3555,целестодерм с гарамицином,крем,1,15г
"АТЕНОЛОЛ БЕЛУПО 0,025 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Белупо, лекарства и косметика д.д",16417,атенолол-белупо,табл п/плен/оболоч,30,25мг
"ЛИЗИНОПРИЛ 0,02 N20 ТАБЛ/ПРАНАФАРМ/","Пранафарм, ООО",46462,лизиноприл,табл,20,20мг
ПАМПЕРС САЛФЕТКИ BABY FRESH ДЕТ N64,Проктер энд Гэмбл Мануфэкчуринг ГмбХ,42571,салфетки влажные памперс fresh clean сменный блок ра-81550638,д/дет,64,
"ЛЮГОЛЯ С ГЛИЦЕРИНОМ 25,0 Р-Р","Тульская фармацевтическая фабрика, ООО",1880,люголя с глицерином,флакон раствор,1,25г
ЙОД -ЛЕККЕР 5% СПИРТ Р-Р 5МЛ,"ЛЕККЕР, ООО",21589,йода-леккер тип 3,блистер,1,5% 5мл
"ЭГИЛОК 0,1 N30 ТАБЛ",Эгис Фармацевтический завод ЗАО,639,эгилок,табл,30,100мг
"БИНАФИН 0,25 N14 ТАБЛ",Шрея Лайф Саенсиз Пвт Лтд,4033,бинафин,табл,14,250мг
"КАРБАМАЗЕПИН 0,2 N50 ТАБЛ/ОБОЛЕНСКОЕ","Оболенское Фармацевтическое предприятие, АО",36193,карбамазепин,табл,50,200мг
ГИНОКОМФОРТ МОЮЩИЙ ГЕЛЬ ДЛЯ ИНТИМНОЙ ГИГИЕНЫ 200МЛ,Вертекс Акционерное Общество,37362,гинокомфорт моющий,флакон гель,1,200мл
ТРАВИСИЛ 100МЛ СИРОП,Плетхико Фармасьютикалз Лтд.,43220,трависил 6,пак сироп,1,100мл
"ГЛАНСИН 0,4МГ N90 КАПС МОДИФ ВЫСВОБ",Хайгланс Лабораториз Пвт.Лтд.,47520,глансин с модиф,капс,90,"0,4мг"
"УРСОФАЛЬК 0,25 N10 КАПС",Лозан Фарма ГмбХ/ Др.Фальк Фарма ГмбХ,14113,урсофальк,капс,10,250мг
"БИНЕЛОЛ 0,005 N14 ТАБЛ","Специфар С.А./Белупо, Лекарства и косметика д.д.",17886,бинелол,табл,14,5мг
"ОРТОСИФОНА ТЫЧИНОЧНОГО (ПОЧЕЧНОГО ЧАЯ) ЛИСТЬЯ 1,5 N20 Ф/ПАК",Красногорсклексредства АО,10171,ортосифон тычиночный листья ф/ почечный чай,п/плен/оболоч,20,1.5г
СУПРИМА-ЛОР ЭВКАЛИПТ N16 ТАБЛ Д/РАССАС,Шрея Лайф Саенсиз Пвт Лтд,3651,суприма-лор /эвкалипт/,табл,16,
АСЕПТА PARODONTAL СЕНСИТИВ ПРОФИЛАКТИЧЕСКАЯ ЗУБНАЯ ПАСТА 75МЛ,Вертекс Акционерное Общество,22332,асепта сенсетив зубн,туба паста,1,75мл
"ТУЛИП 0,04 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Лек Д.Д.,19772,тулип,табл п/плен/оболоч,30,40мг
"ТЕВАСТОР 0,02 N90 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Тева Фармацевтические Предприятия Лтд,39700,тевастор,табл п/плен/оболоч,90,20мг
ГАМАМЕЛИС N10 СУПП РЕКТ ГОМЕОПАТИЧ,"МОСКОВСКАЯ ФАРМ. ФАБРИКА, ЗАО",1949,гамамелис,рект супп,10,
АПТЕЧКА ПЕРВОЙ ПОМОЩИ РАБОТНИК ВИТАЛФАРМ/2104,ВИТАЛФАРМ ЗАО,20863,аптечка первой помощи работникам футляр арт 2104,,1,
"ИНДОМЕТАЦИН-АЛЬТФАРМ 0,05 N10 СУПП РЕКТ","Альтфарм, ООО",10148,индометацин-альтфарм,рект супп,10,50мг
ОКТЕНИСЕПТ 1Л,Шюльке и Майр Гмбх,11893,октенисепт 1 л дезинфицирующее средство,флакон раствор,1,
"ФЛУИМУЦИЛ 0,2 N20 ПАК ГРАН Д/Р-РА",Замбон Свитцерланд Лтд,6702,флуимуцил гран,д/вн/пр д/мест д/приг раствора пак,20,200мг
АЕКОЛ 100МЛ ФЛАК Р-Р МАСЛ,МАРБИОФАРМ ОАО,1267,аекол,д/наруж д/мест флакон раствор,1,100мл
"АЦЕТИЛЦИСТЕИН-ТЕВА 0,2 N20 ТАБЛ ШИП",Меркле ГмбХ,45903,ацетилцистеин-тева шип,табл,20,200мг
СОЛПАДЕИН ФАСТ N24 ТАБЛ П/ПЛЕН/ОБОЛОЧ,ГлаксоСмитКляйн Дангарван Лтд.,39142,солпадеин фаст,табл п/плен/оболоч,24,
"МАКСИКОЛД ДЛЯ ДЕТЕЙ СУСП Д/ПРИЕМА ВНУТРЬ 0,1МГ/5МЛ 200Г ФЛАК/АПЕЛЬСИН/",Фармстандарт-Лексредства ОАО,42441,максиколд апельсин,д/вн/пр д/мест д/дет флакон сусп,1,100мг 5мл 200мл
"АРНИКА ДН 20,0 МАЗЬ","Доктор Н, ООО",6792,арника-дн,мазь,1,20г
ЛЕККЕР-СУПЕРЧИСТОТЕЛО 5МЛ,"ДВЕ ЛИНИИ ПКФ,ООО",47206,суперчистотело-леккер,,1,5мл
"ПРОЗЕРИН 0,015 N20 ТАБЛ",Дальхимфарм ОАО,7691,прозерин,табл,20,15мг
"МЕТРОГИЛ 1% 30,0 ГЕЛЬ ВАГ",Юник Фармасьютикал Лабораториз(Отделение фирмы Дж.,3848,метрогил,ваг гель туба,1,30г
КЛИНДАМИЦИН 15% 2МЛ N10 АМП Р-Р Д/ИН,Хемофарм А.Д.,10052,клиндамицин,раствор амп в/м в/в,10,150мг/мл 2мл
СКИН-АКТИВ ЭМУЛЬСИЯ ДЛЯ ТЕЛА 250МЛ,"Зеленая Дубрава, ЗАО",41089,скин-актив эмульсия,,1,250мл
САНОРИН ЛОРИС СПРЕЙ 30МЛ,ФАРМАЛИНК С.Л.,45578,санорин лорис,спрей,1,30мл
"КЛИНДАМИЦИН 2% 20,0 КРЕМ ВАГИНАЛ/С АППЛИКАТ/",Вертекс Акционерное Общество,22341,клиндамицин,ваг крем,1,2% 20г
"ЛИНКАС ОРВИ 5,6 N5 ПАК ГРАН Д/Р-РА",Хербион Пакистан Прайвет Лимитед,40723,линкас орви гран,д/приг раствора саше,5,
"КАНДИД 20,0 КРЕМ",Гленмарк Фармасьютикалз Лтд,1057,кандид,крем,1,1% 20г
"ВАНКОМИЦИН 0,5 N1 ФЛАК ПОР Д/Р-РА Д/ИНФ",Красфарма ОАО,39478,ванкомицин,д/приг д/приг сусп раствора д/инф,1,".0,5г"
"НИФУРОКСАЗИД 0,2 N28 КАПС",Вертекс Акционерное Общество,46810,нифуроксазид,капс,28,200мг
"УКРОПА ПАХУЧЕГО ПЛОДЫ 50,0",Красногорсклексредства АО,12388,укроп пахучий плоды пачка,,1,50г
"ЦИНКОВАЯ 25,0 ПАСТА/ТВЕРСКАЯ ФФ","ТВЕРСКАЯ ФАРМ. ФАБРИКА,ОАО",6982,цинковая,паста,1,25г
"ЦЕТИРИЗИН ДС 0,01 N10 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Данафа Фармасьютикал Джойнт Сток Компани,17977,цетиризин-дс,табл п/плен/оболоч,10,10мг
ВЕНОЗОЛ ГЕЛЬ 50МЛ,БиоНатурика ООО,48642,венозол против варикоза,гель,1,50мл
"ЗИНАЦЕФ 1,5 ФЛАК ПОР Д/Р-РА Д/ИН",ГлаксоСмитКляин Мэньюфэкчуринг С.п.А.,6779,зинацеф,д/приг д/приг сусп раствора флакон для инъекций,1,1500мг .г
"АПРОВЕЛЬ 0,3 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Санофи Винтроп Индастри,27415,апровель,табл п/плен/оболоч,28,300мг
"ЛОМЕКСИН 1,0 N1 КАПС ВАГ",Каталент Итали С.П.А.,22088,ломексин,капс ваг,1,1000мг
"МИЛОНА-5 N100 ТАБЛ 0,5Г",Эвалар ЗАО,5213,милона-5 мастопат,табл,100,500мг
"ДИКЛОФЕНАК 0,1 N10 СУПП РЕКТ/БИОХИМИК","Биохимик,ОАО",19554,диклофенак,рект супп,10,100мг
"МАГНИЯ СУЛЬФАТ ПОЛИТВИСТ 0,25/МЛ 5МЛ N10 АМП ПЛАСТИК Р-Р В/В /ГРОТЕКС","Гротекс, ООО",40643,магния сульфат,раствор амп в/в,10,250мг/мл 5мл
"ЭЛИЦЕЯ КУ-ТАБ 0,01 N28 ТАБЛ ДИСПЕРГ В ПОЛ РТА","КРКА, д.д., Ново место, АО",43349,элицея ку- дисперг полости рта,табл,28,10мг
"СИМБИКОРТ ТУРБУХАЛЕР 4,5+80МКГ/ДОЗА 120ДОЗ ПОР Д/И",АстраЗенека АБ/АстраЗенека Индастриз ООО,46329,симбикорт турбухалер 120 доза,д/приг сусп дозир,1,80/4.5мкг
ЛЮФФЕЛЬ 20МЛ СПРЕЙ НАЗАЛ,Биологише Хайльмиттель Хеель ГмбХ,20954,люффель меопат дозат-расп,флакон назал спрей,1,.г 20мл
